branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_1p0nm,1.0,1.69,0.565796832,-0.06724178300000005,0.603960396,0.029078218
probe_1p0nm,1.0,1.71,-1.399070988,-2.030701822,0.613861386,0.017769448
probe_1p0nm,1.0,1.73,-0.5630559239999999,-1.190179545,0.613861387,0.013262235
probe_1p0nm,1.0,1.75,-0.7613358329999999,-1.418801604,0.643564357,0.013901414
probe_1p0nm,1.0,1.77,-0.05923491699999994,-0.8001772079999999,0.732673267,0.008269024
probe_1p0nm,1.0,1.79,-0.30835171399999983,-1.1632828309999999,0.8514851489999999,0.003445969
probe_1p0nm,1.0,1.81,-0.7317076130000001,-1.701217089,0.96039604,0.009113437
probe_1p0nm,1.0,1.83,-0.3327468439999999,-1.3246631089999998,0.98019802,0.011718246
probe_1p0nm,1.0,1.85,1.124092,0.17482863300000007,0.940594059,0.008669307
probe_1p0nm,1.0,1.87,-0.22549784399999995,-1.035523446,0.821782178,-0.011756578
probe_1p0nm,1.0,1.89,1.941654019,1.12966194,0.821782178,-0.009790099
probe_1p0nm,1.0,1.91,0.7261063249999999,-0.080690139,0.801980198,0.004816265
probe_1p0nm,1.0,1.93,-0.5120719949999999,-1.344835643,0.8316831689999999,0.00108048
probe_1p0nm,1.0,1.95,-0.6884162890000001,-1.438974138,0.752475247,-0.001917398
probe_1p0nm,1.0,1.97,-0.9677826620000001,-1.633975307,0.683168317,-0.016975672
probe_1p0nm,1.0,1.99,-1.014037751,-1.580181881,0.584158416,-0.018014286
probe_1p0nm,1.0,2.01,0.6704496259999999,0.127759387,0.564356436,-0.021666196
probe_1p0nm,1.0,2.03,0.6286355240000001,0.09413849600000002,0.554455446,-0.019958417
probe_1p0nm,1.0,2.05,1.754599236,1.277593862,0.495049505,-0.018044131
probe_1p0nm,1.0,2.07,0.48964631000000014,-0.04706924800000001,0.554455445,-0.017739888
probe_1p0nm,1.0,2.09,-0.9429148750000003,-1.438974139,0.534653465,-0.038594202
probe_1p0nm,1.0,2.11,-0.5121641769999998,-0.927936595,0.445544555,-0.029772137
probe_1p0nm,1.0,2.13,0.1072056990000001,-0.36982980200000004,0.495049505,-0.018014004
probe_1p0nm,1.0,2.15,-1.244649232,-1.674320377,0.445544555,-0.01587341
probe_1p0nm,1.0,2.17,-0.836418635,-1.149834475,0.33663366299999997,-0.023217823
probe_1p0nm,1.0,2.19,-0.4110021369999999,-0.7732804950000001,0.386138614,-0.023860256
probe_1p0nm,1.0,2.21,-0.5288883470000001,-0.94138495,0.435643565,-0.02314696
probe_1p0nm,1.0,2.23,-1.0897012799999999,-1.452422495,0.396039604,-0.033318389
probe_1p0nm,1.0,2.25,-0.726118884,-1.176731188,0.465346535,-0.01473423
probe_1p0nm,1.0,2.27,2.136160576,1.761734694,0.38613861399999994,-0.011712731
probe_1p0nm,1.0,2.29,1.78876646,1.3582839999999998,0.445544555,-0.015062095
probe_1p0nm,1.0,2.31,0.846667283,0.36982980200000004,0.47524752400000003,0.001589956
probe_1p0nm,1.0,2.33,-2.572259869,-2.884672455,0.30693069300000003,0.005481894
probe_1p0nm,1.0,2.35,-2.98875608,-3.308295683,0.297029703,0.0225099
probe_1p0nm,1.0,2.37,-1.427016938,-1.8222522970000001,0.38613861400000005,0.009096745
probe_1p0nm,1.0,2.39,1.7951974439999998,1.351559822,0.425742575,0.017895048
probe_1p0nm,1.0,2.41,0.940992842,0.403450693,0.5247524750000001,0.012789673
probe_1p0nm,1.0,2.43,0.6587159359999999,0.14793192100000002,0.4752475250000001,0.03553649
probe_1p0nm,1.0,2.45,0.9397357120000001,0.5043133660000001,0.41584158400000004,0.019580762
probe_1p0nm,1.0,2.47,-0.361913886,-0.766556317,0.37623762400000005,0.028404807
probe_1p0nm,1.0,2.49,0.25675648800000006,-0.154656099,0.39603960399999993,0.015372982
probe_1p5nm,1.5,0.01,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.03,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.05,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.07,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.09,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.11,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.13,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.15,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.17,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.19,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.21,0.0,0.0,0.0,0.0
probe_1p5nm,1.5,0.23,-0.08741431700000002,-0.08741431700000002,0.0,0.0
probe_1p5nm,1.5,0.25,0.033620890999999986,0.033620890999999986,0.0,0.0
probe_1p5nm,1.5,0.27,-0.12103520799999945,-0.12103520799999945,0.0,0.0
probe_1p5nm,1.5,0.29,-0.16138027700000013,-0.16138027700000013,0.0,0.0
probe_1p5nm,1.5,0.31,0.07396596,0.07396596,0.0,0.0
probe_1p5nm,1.5,0.33,-0.033620890999999986,-0.033620890999999986,0.0,0.0
probe_1p5nm,1.5,0.35,0.01344835599999994,0.013448357000000022,0.0,0.0
probe_1p5nm,1.5,0.37,0.2689671290000001,0.2689671290000001,0.0,0.0
probe_1p5nm,1.5,0.39,-0.009900989999999998,0.0,-0.00990099,0.0
probe_1p5nm,1.5,0.41,-0.23460512900000002,-0.19500116899999997,-0.03960396,0.0
probe_1p5nm,1.5,0.43,-0.15073817899999997,-0.12103520800000012,-0.02970297,0.0
probe_1p5nm,1.5,0.45,0.4013855450000001,0.4706924749999999,-0.069306931,0.0
probe_1p5nm,1.5,0.47,-0.3683475839999999,-0.2891396639999999,-0.079207921,0.0
probe_1p5nm,1.5,0.49,-0.10499297099999971,0.033620890999999986,-0.138613861,0.0
probe_1p5nm,1.5,0.51,-0.16868738599999977,-0.020172535000000158,-0.148514852,0.0
probe_1p5nm,1.5,0.53,0.2517590299999999,0.41017487100000005,-0.158415842,0.0
probe_1p5nm,1.5,0.55,0.165085822,0.363105624,-0.198019802,0.0
probe_1p5nm,1.5,0.57,-0.016837545000000002,0.161380277,-0.17821782199999997,0.0
probe_1p5nm,1.5,0.59,0.426958218,0.6051760399999999,-0.17821782199999997,0.0
probe_1p5nm,1.5,0.61,0.25287069300000004,0.470692475,-0.21782178199999996,0.0
probe_1p5nm,1.5,0.63,0.08831360399999999,0.31603637599999995,-0.22772277200000002,0.0
probe_1p5nm,1.5,0.65,-0.06560138599999998,0.20172534599999992,-0.267326733,0.0
probe_1p5nm,1.5,0.67,0.5130484949999998,0.8001772070000001,-0.287128713,0.0
probe_1p5nm,1.5,0.69,-0.04468774299999989,0.26224294999999986,-0.306930693,0.0
probe_1p5nm,1.5,0.71,-0.15190403899999994,0.17482863299999996,-0.326732673,0.0
probe_1p5nm,1.5,0.73,-0.11717148500000008,0.268967129,-0.386138614,0.0
probe_1p5nm,1.5,0.75,-0.36485441499999993,0.080690139,-0.445544554,0.0
probe_1p5nm,1.5,0.77,0.22089019799999987,0.7060387130000001,-0.48514851499999995,0.0
probe_1p5nm,1.5,0.79,0.13141073299999995,0.685866179,-0.5544554460000001,0.0
probe_1p5nm,1.5,0.81,0.08825940600000015,0.6724178220000001,-0.584158416,0.0
probe_1p5nm,1.5,0.83,-0.29464819800000003,0.309312198,-0.603960397,0.0
probe_1p5nm,1.5,0.85,-0.08619867299999995,0.517761723,-0.603960396,0.0
probe_1p5nm,1.5,0.87,1.123412297,1.687768733,-0.564356436,0.0
probe_1p5nm,1.5,0.89,0.4067314850000001,0.9413849510000001,-0.534653465,0.0
probe_1p5nm,1.5,0.91,-0.11383649499999993,0.45051993999999995,-0.5643564360000001,0.0
probe_1p5nm,1.5,0.93,-0.563615326,0.04034506999999998,-0.6039603960000001,0.0
probe_1p5nm,1.5,0.95,-0.6344044749999999,-0.04034506999999998,-0.5940594060000001,0.0
probe_1p5nm,1.5,0.97,-0.5438133460000001,0.04034506900000001,-0.584158416,0.0
probe_1p5nm,1.5,0.99,-0.11346594099999996,0.470692476,-0.584158416,0.0
probe_1p5nm,1.5,1.01,0.33424774300000004,0.948109129,-0.613861386,0.0
probe_1p5nm,1.5,1.03,0.499545941,1.143110298,-0.643564356,0.0
probe_1p5nm,1.5,1.05,-0.7776773659999999,-0.11431103000000001,-0.663366337,0.0
probe_1p5nm,1.5,1.07,0.22777255400000002,0.901039881,-0.673267327,0.0
probe_1p5nm,1.5,1.09,0.880017842,1.553285168,-0.673267327,0.0
