time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
411.000,0.33097738,0.30182525,-0.30100942,0.02217681,19.25808952,2.128816
412.000,0.32387869,0.31787135,-0.31664086,-0.02794205,19.31058945,1.796458
413.000,0.34130353,0.38788561,-0.37859438,-0.08438923,19.39440188,3.529974
414.000,0.33460318,0.35991068,-0.33184574,-0.13933451,19.46654354,5.816824
415.000,0.34543127,0.45719357,-0.42184579,-0.17627276,19.56382892,7.738194
416.000,0.31031890,0.37815331,-0.31134685,-0.21462308,19.68079371,4.473039
417.000,0.32072910,0.44885120,-0.40219799,-0.19925905,19.77293482,5.060125
418.000,0.32161223,0.43115952,-0.38896428,-0.18602504,19.79165033,2.040280
419.000,0.31115132,0.43037413,-0.38308669,-0.19612873,19.80333924,4.873712
420.000,0.33700914,0.48214541,-0.39769978,-0.27257859,19.88117319,5.481620
421.000,0.32889423,0.56813903,-0.50385893,-0.26250359,19.98780935,2.412002
422.000,0.33118008,0.69065933,-0.57673368,-0.37998495,20.12605768,5.475754
423.000,0.32281734,0.71003839,-0.64678811,-0.29294993,20.23778376,1.154875
424.000,0.32441770,0.68435314,-0.62444471,-0.28001432,20.26360153,2.396942
425.000,0.33045352,0.71524924,-0.66707925,-0.25804409,20.31156396,5.674575
426.000,0.33387985,0.66851322,-0.60814946,-0.27760432,20.37365521,1.283442
427.000,0.34858755,0.85391217,-0.79185514,-0.31958010,20.56209550,2.154586
428.000,0.32498611,0.84747492,-0.78879347,-0.30986867,20.57227811,6.421045
429.000,0.31882467,0.85985457,-0.81645550,-0.26972265,20.62103147,3.790752
430.000,0.33794531,0.87820178,-0.81869594,-0.31776614,20.66912717,0.851798
431.000,0.32217310,0.80026732,-0.72354068,-0.34193079,20.76730280,5.305518
432.000,0.32762650,0.81633502,-0.74894097,-0.32479270,20.79794411,4.624401
433.000,0.32221892,0.74137754,-0.70308102,-0.23519722,20.89859441,2.400777
434.000,0.33017882,0.72494445,-0.66465755,-0.28943877,20.96506628,3.549775
435.000,0.33016496,0.73330065,-0.69748651,-0.22636788,21.03616957,4.736276
436.000,0.31574625,0.78141519,-0.75805970,-0.18961858,21.10701886,4.500977
437.000,0.34304096,0.75397218,-0.72521247,-0.20625453,21.14383863,7.873748
438.000,0.34528447,0.70679541,-0.68089008,-0.18960078,21.19118651,2.492929
439.000,0.31600886,0.68651584,-0.65140592,-0.21673563,21.23125665,4.799630
440.000,0.31749117,0.69600210,-0.65779600,-0.22742765,21.24371267,1.435178
441.000,0.34808967,0.70545655,-0.67004705,-0.22069411,21.25769226,4.380253
442.000,0.32484059,0.69723220,-0.64780320,-0.25784444,21.30099278,1.915608
